gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2834042359	StillImage	image/jpeg	https://observation.org/photos/21256659.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	peter de kraker
2834040271	StillImage	image/jpeg	https://observation.org/photos/22425455.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834040271	StillImage	image/jpeg	https://observation.org/photos/22425456.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834040271	StillImage	image/jpeg	https://observation.org/photos/22425457.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	TvdB
2834037794	StillImage	image/jpeg	https://observation.org/photos/20635293.jpg							Jeroen Breidenbach			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jeroen Breidenbach
2834032949	StillImage	image/jpeg	https://observation.org/photos/20860664.jpg							Marieke en Dolf			http://creativecommons.org/licenses/by-nc-nd/4.0/	Marieke en Dolf
2834010905	StillImage	image/jpeg	https://observation.org/photos/21130533.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	peter de kraker
2834009489	StillImage	image/jpeg	https://observation.org/photos/21274838.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	peter de kraker
2834005847	StillImage	image/jpeg	https://observation.org/photos/20843337.jpg							Marieke en Dolf			http://creativecommons.org/licenses/by-nc-nd/4.0/	Marieke en Dolf
2834005183	StillImage	image/jpeg	https://observation.org/photos/21276037.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	peter de kraker
2833997601	StillImage	image/jpeg	https://observation.org/photos/21129561.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	peter de kraker
2833986219	StillImage	image/jpeg	https://observation.org/photos/21244334.jpg							Dick van Dorp			http://creativecommons.org/licenses/by-nc-nd/4.0/	Dick van Dorp
2833974345	StillImage	image/jpeg	https://observation.org/photos/20497938.jpg							Jan Koreneef			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jan Koreneef
2833972683	StillImage	image/jpeg	https://observation.org/photos/20593244.jpg							Floris Kouters			http://creativecommons.org/licenses/by-nc-nd/4.0/	Floris Kouters
2833967772	StillImage	image/jpeg	https://observation.org/photos/20712128.jpg							Sander Wansing			http://creativecommons.org/licenses/by-nc/4.0/	Sander Wansing
2833967772	StillImage	image/jpeg	https://observation.org/photos/20712129.jpg							Sander Wansing			http://creativecommons.org/licenses/by-nc/4.0/	Sander Wansing
2833960597	StillImage	image/jpeg	https://observation.org/photos/20498582.jpg							Jan Koreneef			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jan Koreneef
2833960597	StillImage	image/jpeg	https://observation.org/photos/20498570.jpg							Jan Koreneef			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jan Koreneef
2833960597	StillImage	image/jpeg	https://observation.org/photos/20498571.jpg							Jan Koreneef			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jan Koreneef
